drugbank_id,name
DB00721,Procaine
DB00722,Lisinopril
DB00723,Methoxamine
DB00724,Imiquimod
DB00726,Trimipramine
DB00727,Nitroglycerin
DB00728,Rocuronium
DB00730,Thiabendazole
DB00731,Nateglinide
DB00732,Atracurium besylate
DB00734,Risperidone
DB00735,Naftifine
DB00736,Esomeprazole
DB00737,Meclizine
DB00738,Pentamidine
DB00740,Riluzole
DB00741,Hydrocortisone
DB00742,Mannitol
DB00743,Gadobenic acid
DB00744,Zileuton
DB00745,Modafinil
DB00746,Deferoxamine
DB00747,Scopolamine
DB00748,Carbinoxamine
DB00749,Etodolac
DB00750,Prilocaine
DB00751,Epinastine
DB00752,Tranylcypromine
DB00753,Isoflurane
DB00754,Ethotoin
DB00755,Tretinoin
DB00757,Dolasetron
DB00758,Clopidogrel
DB00759,Tetracycline
DB00760,Meropenem
DB00761,Potassium chloride
DB00762,Irinotecan
DB00763,Methimazole
DB00764,Mometasone
DB00765,Metyrosine
DB00766,Clavulanic acid
DB00768,Olopatadine
DB00769,Hydrocortamate
DB00770,Alprostadil
DB00771,Clidinium
DB00772,Malathion
DB00773,Etoposide
DB00774,Hydroflumethiazide
DB00775,Tirofiban
DB00776,Oxcarbazepine
DB00778,Roxithromycin
DB00779,Nalidixic acid
DB00780,Phenelzine
DB00781,Polymyxin B
DB00782,Propantheline
DB00783,Estradiol
DB00784,Mefenamic acid
DB00787,Acyclovir
DB00788,Naproxen
DB00790,Perindopril
DB00791,Uracil mustard
DB00792,Tripelennamine
DB00793,Haloprogin
DB00794,Primidone
DB00795,Sulfasalazine
DB00796,Candesartan cilexetil
DB00797,Tolazoline
DB00798,Gentamicin
DB00799,Tazarotene
DB00800,Fenoldopam
DB00801,Halazepam
DB00802,Alfentanil
DB00803,Colistin
DB00804,Dicyclomine
DB00805,Minaprine
DB00806,Pentoxifylline
DB00807,Proparacaine
DB00808,Indapamide
DB00809,Tropicamide
DB00810,Biperiden
DB00811,Ribavirin
DB00812,Phenylbutazone
DB00813,Fentanyl
DB00814,Meloxicam
DB00816,Orciprenaline
DB00817,Rosoxacin
DB00818,Propofol
DB00819,Acetazolamide
DB00820,Tadalafil
DB00821,Carprofen
DB00822,Disulfiram
DB00823,Ethynodiol diacetate
DB00826,Natamycin
DB00827,Cinoxacin
DB00828,Fosfomycin
DB00829,Diazepam
DB00830,Phenmetrazine
DB00831,Trifluoperazine
DB00832,Phensuximide
DB00833,Cefaclor
DB00834,Mifepristone
DB00835,Brompheniramine
DB00836,Loperamide
DB00837,Progabide
DB00838,Clocortolone
DB00839,Tolazamide
DB00841,Dobutamine
DB00842,Oxazepam
DB00843,Donepezil
DB00844,Nalbuphine
DB00845,Clofazimine
DB00846,Flurandrenolide
DB00847,Cysteamine
DB00849,Methylphenobarbital
DB00850,Perphenazine
DB00851,Dacarbazine
DB00852,Pseudoephedrine
DB00853,Temozolomide
DB00854,Levorphanol
DB00855,Aminolevulinic acid
DB00856,Chlorphenesin
DB00857,Terbinafine
DB00859,Penicillamine
DB00860,Prednisolone
DB00861,Diflunisal
DB00862,Vardenafil
DB00863,Ranitidine
DB00864,Tacrolimus
DB00865,Benzphetamine
DB00866,Alprenolol
DB00867,Ritodrine
DB00869,Dorzolamide
DB00870,Suprofen
DB00871,Terbutaline
DB00872,Conivaptan
DB00873,Loteprednol
DB00875,Flupentixol
DB00876,Eprosartan
DB00877,Sirolimus
DB00879,Emtricitabine
DB00880,Chlorothiazide
DB00881,Quinapril
DB00882,Clomifene
DB00883,Isosorbide dinitrate
DB00884,Risedronic acid
